code,total_score,trend,reversion,volume,close,stop_loss,rsi,mom_20,date,rsi_rank,mom_rank
sh.603173,0.471,0.8,0.0,0.5,51.75,47.79,76.25,0.0544,2026-02-26,0.9009584664536742,0.6317891373801917
sh.603203,0.471,0.8,0.0,0.5,41.14,37.37,69.58,0.0203,2026-02-26,0.7476038338658147,0.43450479233226835
sh.603150,0.471,0.8,0.0,0.5,61.36,53.55,69.91,0.3971,2026-02-26,0.7595846645367412,0.9776357827476039
sh.603162,0.471,0.8,0.0,0.5,15.3,13.43,66.43,0.2567,2026-02-26,0.6126198083067093,0.9424920127795527
sh.603155,0.471,0.8,0.0,0.5,20.55,18.74,81.3,0.1211,2026-02-26,0.9664536741214057,0.8146964856230032
sz.300566,0.471,0.8,0.0,0.5,20.98,19.79,72.48,0.0677,2026-02-26,0.8266773162939297,0.6805111821086262
sz.300617,0.471,0.8,0.0,0.5,59.89,49.68,74.24,0.5139,2026-02-26,0.8562300319488818,0.9936102236421726
sz.300590,0.471,0.8,0.0,0.5,12.87,12.11,56.44,0.0,2026-02-26,0.23722044728434505,0.3218849840255591
sh.603681,0.471,0.8,0.0,0.5,21.92,19.92,68.0,-0.0095,2026-02-26,0.6821086261980831,0.2795527156549521
sh.603611,0.471,0.8,0.0,0.5,24.73,23.42,63.13,-0.0068,2026-02-26,0.49440894568690097,0.29313099041533547
sh.603650,0.471,0.8,0.0,0.5,61.93,54.94,66.43,0.0169,2026-02-26,0.6126198083067093,0.4169329073482428
sh.603612,0.471,0.8,0.0,0.5,35.15,30.98,73.96,0.3264,2026-02-26,0.8514376996805112,0.9664536741214057
sh.603588,0.471,0.8,0.0,0.5,12.08,10.99,83.64,0.2479,2026-02-26,0.9840255591054313,0.9361022364217252
sh.603585,0.471,0.8,0.0,0.5,22.15,20.18,68.95,0.035,2026-02-26,0.7140575079872205,0.5399361022364217
sh.603577,0.471,0.8,0.0,0.5,11.53,10.49,60.8,0.0249,2026-02-26,0.3961661341853035,0.4744408945686901
sh.603393,0.471,0.8,0.0,0.5,32.18,29.86,69.07,0.0745,2026-02-26,0.7212460063897763,0.6964856230031949
sh.603876,0.471,0.8,0.0,0.5,20.61,17.95,73.44,0.2707,2026-02-26,0.8434504792332268,0.952076677316294
sh.603977,0.471,0.8,0.0,0.5,15.07,13.77,57.58,-0.054,2026-02-26,0.29073482428115016,0.10223642172523961
sh.603871,0.471,0.8,0.0,0.5,15.09,13.89,67.6,0.0833,2026-02-26,0.6717252396166135,0.7252396166134185
sh.603861,0.471,0.8,0.0,0.5,18.71,16.23,70.2,0.2608,2026-02-26,0.7651757188498403,0.9440894568690096
sh.603757,0.471,0.8,0.0,0.5,46.42,41.35,69.19,0.0987,2026-02-26,0.7284345047923323,0.7603833865814696
sh.603713,0.471,0.8,0.0,0.5,69.66,63.82,69.91,0.0847,2026-02-26,0.7595846645367412,0.7292332268370607
sh.603682,0.471,0.8,0.0,0.5,8.28,7.32,75.51,0.1265,2026-02-26,0.8833865814696485,0.8266773162939297
sz.300481,0.471,0.8,0.0,0.5,18.1,16.78,64.65,0.0585,2026-02-26,0.5519169329073482,0.6501597444089456
